                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4415,                 4.4514,                  4.476,                      0,                      0,                      0,                      0,                 3.1254,                 4.4333,                  4.159,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 3.2186,                 4.4717,                 4.4586,                      0,                      0,                      0,                      0,                 3.1252,                 4.4326,                 4.1591,             4.2446e-05,             4.2446e-05,             4.2446e-05
                      3,                 3.2931,                 4.4035,                 4.4621,                      0,                      0,                      0,                      0,                 3.1251,                 4.4322,                 4.1592,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      4,                 3.3279,                 4.3834,                 4.3683,                      0,                      0,                      0,                      0,                  3.125,                 4.4324,                 4.1593,             9.7059e-05,             9.7059e-05,             9.7059e-05
                      5,                 3.1449,                  4.276,                   4.37,                      0,                      0,                      0,                      0,                 3.1248,                 4.4333,                 4.1595,             0.00012352,             0.00012352,             0.00012352
                      6,                 4.1188,                 4.0865,                 4.2706,                      0,                      0,                      0,                      0,                 3.1248,                  4.435,                 4.1597,             0.00014941,             0.00014941,             0.00014941
                      7,                  3.797,                 4.1798,                 4.2345,                      0,                      0,                      0,                      0,                 3.1246,                 4.4375,                 4.1601,             0.00017474,             0.00017474,             0.00017474
                      8,                 3.9353,                 3.9248,                 4.1746,                      0,                      0,                      0,                      0,                 3.1245,                 4.4407,                 4.1606,              0.0001995,              0.0001995,              0.0001995
                      9,                 3.1828,                 3.8142,                 4.1637,                      0,                      0,                      0,                      0,                 3.1244,                 4.4424,                 4.1609,             0.00022369,             0.00022369,             0.00022369
                     10,                 3.0772,                 3.7173,                 4.1893,                      0,                      0,                      0,                      0,                 3.1241,                 4.4459,                 4.1614,             0.00024732,             0.00024732,             0.00024732
                     11,                 2.6482,                 3.7442,                  4.154,                      0,                      0,                      0,                      0,                 3.1239,                 4.4501,                 4.1621,             0.00027038,             0.00027038,             0.00027038
                     12,                 2.8719,                 3.5678,                 4.1524,                      0,                      0,                      0,                      0,                 3.1236,                 4.4543,                 4.1627,             0.00029288,             0.00029288,             0.00029288
                     13,                 3.0415,                 3.3619,                 4.0456,                      0,                      0,                      0,                      0,                 3.1232,                 4.4589,                 4.1634,             0.00031481,             0.00031481,             0.00031481
                     14,                 3.2371,                 3.5191,                 4.0095,                      0,                      0,                      0,                      0,                 3.1222,                 4.4648,                 4.1642,             0.00033617,             0.00033617,             0.00033617
                     15,                 3.2963,                 3.3781,                 3.8946,                      0,                      0,                      0,                      0,                 3.1193,                 4.4732,                  4.165,             0.00035697,             0.00035697,             0.00035697
                     16,                 2.6113,                 3.3609,                 3.9182,                      0,                      0,                      0,                      0,                 3.1188,                  4.478,                 4.1661,             0.00037721,             0.00037721,             0.00037721
                     17,                 2.6732,                 2.9824,                 3.7446,                      0,                      0,                      0,                      0,                 3.1181,                 4.4844,                 4.1676,             0.00039687,             0.00039687,             0.00039687
                     18,                 2.7652,                 3.0371,                 3.8067,                      0,                      0,                      0,                      0,                 3.1173,                 4.4918,                 4.1693,             0.00041597,             0.00041597,             0.00041597
                     19,                   2.58,                 2.8613,                  3.664,                      0,                      0,                      0,                      0,                 3.1161,                 4.5006,                 4.1713,             0.00043451,             0.00043451,             0.00043451
                     20,                 2.4511,                 3.0276,                 3.8026,                      0,                      0,                      0,                      0,                 3.1149,                 4.5094,                 4.1744,             0.00045248,             0.00045248,             0.00045248
                     21,                 2.9118,                 3.1949,                 3.8104,                      0,                      0,                      0,                      0,                 3.1138,                 4.5166,                 4.1779,             0.00046988,             0.00046988,             0.00046988
                     22,                 2.7443,                 2.8717,                 3.5172,                      0,                      0,                      0,                      0,                 3.1127,                 4.5221,                 4.1815,             0.00048672,             0.00048672,             0.00048672
                     23,                 2.4978,                 2.7531,                 3.4789,                      0,                      0,                      0,                      0,                 3.1125,                 4.5233,                 4.1851,             0.00050299,             0.00050299,             0.00050299
                     24,                  2.302,                 2.5043,                 3.2651,                      0,                      0,                      0,                      0,                 3.1125,                 4.5262,                 4.1893,              0.0005187,              0.0005187,              0.0005187
                     25,                 2.4679,                 2.8198,                 3.4596,                      0,                      0,                      0,                      0,                 3.1122,                 4.5379,                 4.1962,             0.00053384,             0.00053384,             0.00053384
                     26,                 2.3686,                 2.5567,                 3.2082,                      0,                      0,                      0,                      0,                  3.111,                 4.5612,                 4.2067,             0.00054841,             0.00054841,             0.00054841
                     27,                 2.6012,                 2.4236,                  3.192,                      0,                      0,                      0,                      0,                 3.1108,                 4.5946,                 4.2181,             0.00056242,             0.00056242,             0.00056242
                     28,                 2.2643,                  2.661,                 3.0159,                      0,                      0,                      0,                      0,                 3.1108,                 4.5946,                 4.2181,             0.00057587,             0.00057587,             0.00057587
