                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4415,                 4.4514,                  4.476,                      0,                      0,                      0,                      0,                 3.1254,                 4.4333,                  4.159,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 3.2186,                 4.4716,                 4.4586,                      0,                      0,                      0,                      0,                 3.1252,                 4.4326,                 4.1591,             4.2828e-05,             4.2828e-05,             4.2828e-05
                      3,                 3.2928,                  4.403,                 4.4623,                      0,                      0,                      0,                      0,                 3.1251,                 4.4323,                 4.1592,             7.1309e-05,             7.1309e-05,             7.1309e-05
                      4,                 3.3272,                 4.3853,                 4.3686,                      0,                      0,                      0,                      0,                  3.125,                 4.4324,                 4.1593,             9.9733e-05,             9.9733e-05,             9.9733e-05
                      5,                 3.1381,                 4.2679,                 4.3705,                      0,                      0,                      0,                      0,                 3.1248,                 4.4334,                 4.1595,              0.0001281,              0.0001281,              0.0001281
                      6,                 4.1277,                  4.068,                 4.2605,                      0,                      0,                      0,                      0,                 3.1248,                 4.4351,                 4.1597,             0.00015641,             0.00015641,             0.00015641
                      7,                 3.7897,                 4.1962,                 4.2231,                      0,                      0,                      0,                      0,                 3.1246,                 4.4377,                 4.1601,             0.00018467,             0.00018467,             0.00018467
                      8,                 3.9728,                 3.9237,                 4.1702,                      0,                      0,                      0,                      0,                 3.1245,                 4.4409,                 4.1606,             0.00021286,             0.00021286,             0.00021286
                      9,                 3.1059,                 3.7908,                 4.1841,                      0,                      0,                      0,                      0,                 3.1244,                 4.4427,                 4.1608,             0.00024101,             0.00024101,             0.00024101
                     10,                 3.0753,                 3.7173,                 4.1651,                      0,                      0,                      0,                      0,                 3.1241,                 4.4464,                 4.1614,             0.00026909,             0.00026909,             0.00026909
                     11,                 2.6319,                 3.6715,                 4.1612,                      0,                      0,                      0,                      0,                 3.1239,                 4.4507,                  4.162,             0.00029712,             0.00029712,             0.00029712
                     12,                   2.81,                  3.541,                 4.1022,                      0,                      0,                      0,                      0,                 3.1235,                 4.4549,                 4.1625,             0.00032509,             0.00032509,             0.00032509
                     13,                 3.0783,                  3.316,                 3.9865,                      0,                      0,                      0,                      0,                 3.1231,                 4.4594,                 4.1631,             0.00035301,             0.00035301,             0.00035301
                     14,                 3.2852,                 3.4606,                 3.9474,                      0,                      0,                      0,                      0,                 3.1221,                  4.465,                 4.1638,             0.00038086,             0.00038086,             0.00038086
                     15,                 3.3853,                  3.327,                 3.8577,                      0,                      0,                      0,                      0,                 3.1193,                 4.4725,                 4.1644,             0.00040867,             0.00040867,             0.00040867
                     16,                 2.5838,                 3.2947,                 3.9015,                      0,                      0,                      0,                      0,                 3.1187,                 4.4772,                 4.1653,             0.00043641,             0.00043641,             0.00043641
                     17,                 2.6815,                 2.9432,                 3.7425,                      0,                      0,                      0,                      0,                 3.1178,                 4.4846,                 4.1669,              0.0004641,              0.0004641,              0.0004641
                     18,                 2.7771,                 2.9989,                 3.7664,                      0,                      0,                      0,                      0,                 3.1169,                 4.4925,                 4.1688,             0.00049173,             0.00049173,             0.00049173
                     19,                 2.5435,                 2.7566,                 3.6081,                      0,                      0,                      0,                      0,                 3.1157,                 4.5009,                 4.1708,             0.00051931,             0.00051931,             0.00051931
                     20,                 2.3419,                 2.9338,                 3.7641,                      0,                      0,                      0,                      0,                 3.1145,                 4.5086,                 4.1735,             0.00054683,             0.00054683,             0.00054683
                     21,                 2.9168,                 3.1459,                 3.7703,                      0,                      0,                      0,                      0,                 3.1135,                 4.5131,                 4.1767,             0.00057429,             0.00057429,             0.00057429
                     22,                 2.7679,                 2.8384,                 3.4463,                      0,                      0,                      0,                      0,                 3.1123,                 4.5167,                 4.1805,              0.0006017,              0.0006017,              0.0006017
                     23,                  2.466,                   2.69,                 3.3963,                      0,                      0,                      0,                      0,                 3.1119,                 4.5232,                 4.1841,             0.00062904,             0.00062904,             0.00062904
                     24,                 2.2229,                 2.3127,                 3.1623,                      0,                      0,                      0,                      0,                 3.1116,                 4.5293,                 4.1885,             0.00065634,             0.00065634,             0.00065634
                     25,                 2.3809,                 2.6281,                 3.4126,                      0,                      0,                      0,                      0,                 3.1117,                 4.5343,                  4.194,             0.00068357,             0.00068357,             0.00068357
                     26,                 2.3545,                 2.3725,                 3.1288,                      0,                      0,                      0,                      0,                  3.111,                 4.5636,                 4.2061,             0.00071075,             0.00071075,             0.00071075
                     27,                 2.4655,                 2.2758,                 3.0672,                0.00025,                0.03333,                0.00014,                  1e-05,                 3.1117,                 4.5869,                 4.2166,             0.00073788,             0.00073788,             0.00073788
                     28,                 2.1965,                 2.7349,                 2.9115,                0.00025,                0.03333,                0.00014,                  1e-05,                 3.1117,                 4.5869,                 4.2166,             0.00076494,             0.00076494,             0.00076494
                     29,                 2.3453,                 2.5261,                 2.8845,                0.00019,                0.03333,                0.00012,                  2e-05,                 3.1125,                 4.6038,                 4.2266,             0.00079195,             0.00079195,             0.00079195
                     30,                 2.4697,                 2.5415,                 2.9942,                0.00029,                   0.05,                0.00019,                  2e-05,                 3.1141,                 4.6163,                 4.2364,              0.0008189,              0.0008189,              0.0008189
                     31,                 1.9766,                 2.6512,                  2.908,                0.00029,                   0.05,                0.00019,                  2e-05,                 3.1141,                 4.6163,                 4.2364,              0.0008458,              0.0008458,              0.0008458
                     32,                 2.4565,                 2.3958,                  3.376,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.1172,                 4.6146,                 4.2438,             0.00087264,             0.00087264,             0.00087264
                     33,                 2.2003,                 2.4075,                 2.8941,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.1215,                 4.6265,                 4.2563,             0.00089942,             0.00089942,             0.00089942
                     34,                 2.2591,                 2.3502,                  2.884,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.1215,                 4.6265,                 4.2563,             0.00092615,             0.00092615,             0.00092615
                     35,                 2.2569,                 2.2062,                 2.9647,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.1289,                 4.6273,                 4.2645,             0.00095282,             0.00095282,             0.00095282
                     36,                  1.987,                 2.0048,                 2.6573,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.1394,                 4.6207,                 4.2725,             0.00097943,             0.00097943,             0.00097943
                     37,                  2.184,                 2.3466,                 2.9362,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.1394,                 4.6207,                 4.2725,               0.001006,               0.001006,               0.001006
                     38,                  2.051,                 1.8848,                 2.6035,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.1562,                 4.6048,                 4.2766,              0.0010325,              0.0010325,              0.0010325
                     39,                 1.9322,                 2.0347,                 2.5408,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.1886,                 4.5732,                 4.2771,              0.0010589,              0.0010589,              0.0010589
                     40,                 2.0665,                 1.8353,                 2.4563,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.1886,                 4.5732,                 4.2771,              0.0010853,              0.0010853,              0.0010853
                     41,                 2.0257,                 1.8968,                 2.7402,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.2517,                 4.4952,                 4.2618,              0.0011117,              0.0011117,              0.0011117
                     42,                 2.0325,                  1.914,                 2.8319,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.2716,                 4.4853,                 4.2691,              0.0011379,              0.0011379,              0.0011379
                     43,                 1.9109,                 1.9028,                 2.3889,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.2716,                 4.4853,                 4.2691,              0.0011641,              0.0011641,              0.0011641
                     44,                 2.0808,                 1.7974,                 2.4287,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.2686,                 4.4548,                 4.2647,              0.0011903,              0.0011903,              0.0011903
                     45,                 1.8728,                 1.5945,                 2.2353,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.2686,                 4.4548,                 4.2647,              0.0012164,              0.0012164,              0.0012164
                     46,                  1.803,                 1.8353,                 2.7229,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.2247,                 4.3585,                 4.2196,              0.0012425,              0.0012425,              0.0012425
                     47,                 2.0526,                 1.7463,                 2.3876,                0.00029,                   0.05,                0.00017,                  2e-05,                 3.2247,                 4.3585,                 4.2196,              0.0012684,              0.0012684,              0.0012684
                     48,                 1.9194,                 1.9665,                 2.4892,                0.00453,                0.33333,                0.03691,                0.01391,                   3.15,                 4.0952,                 4.0617,              0.0012944,              0.0012944,              0.0012944
                     49,                 1.7836,                 1.6616,                 2.3304,                0.00453,                0.33333,                0.03691,                0.01391,                   3.15,                 4.0952,                 4.0617,              0.0013203,              0.0013203,              0.0013203
                     50,                 1.8614,                 1.6568,                 2.3707,                0.00407,                0.33333,                0.21311,                0.06986,                 2.9923,                 3.7599,                 3.8066,              0.0013461,              0.0013461,              0.0013461
                     51,                 1.6958,                  1.647,                 2.3088,                0.00407,                0.33333,                0.21311,                0.06986,                 2.9923,                 3.7599,                 3.8066,              0.0013583,              0.0013583,              0.0013583
                     52,                 1.8583,                 1.7268,                 2.3375,                0.01166,                0.61333,                0.22808,                0.09982,                 2.4727,                 3.5329,                 3.5364,              0.0013583,              0.0013583,              0.0013583
                     53,                 1.6384,                 1.5849,                 2.2866,                0.01166,                0.61333,                0.22808,                0.09982,                 2.4727,                 3.5329,                 3.5364,              0.0013568,              0.0013568,              0.0013568
                     54,                 1.8353,                 1.6125,                 2.3834,                 0.6281,                0.31667,                0.42464,                0.24504,                 1.9188,                 3.0696,                 3.0929,              0.0013554,              0.0013554,              0.0013554
                     55,                 1.9674,                  1.616,                 2.2124,                 0.6281,                0.31667,                0.42464,                0.24504,                 1.9188,                 3.0696,                 3.0929,               0.001354,               0.001354,               0.001354
                     56,                 2.2149,                  1.594,                 2.2225,                0.87472,                 0.5652,                0.59152,                0.35996,                 1.7783,                 2.4292,                 2.7396,              0.0013526,              0.0013526,              0.0013526
                     57,                 1.9769,                 1.8599,                 2.5585,                0.87472,                 0.5652,                0.59152,                0.35996,                 1.7783,                 2.4292,                 2.7396,              0.0013512,              0.0013512,              0.0013512
                     58,                 1.5028,                 1.4749,                  2.143,                0.86813,                0.66508,                0.63086,                0.39943,                  1.802,                 2.3079,                 2.6984,              0.0013498,              0.0013498,              0.0013498
                     59,                 2.0154,                 2.1906,                 2.6604,                0.86813,                0.66508,                0.63086,                0.39943,                  1.802,                 2.3079,                 2.6984,              0.0013484,              0.0013484,              0.0013484
                     60,                 1.9325,                 1.9255,                 2.5237,                0.63534,                0.64795,                0.66098,                0.35527,                  1.878,                 2.5042,                 2.7295,              0.0013469,              0.0013469,              0.0013469
                     61,                 1.5777,                 1.6031,                 2.2408,                0.63534,                0.64795,                0.66098,                0.35527,                  1.878,                 2.5042,                 2.7295,              0.0013455,              0.0013455,              0.0013455
                     62,                 1.9113,                 1.6892,                   2.56,                0.61562,                0.63981,                0.75454,                0.31037,                 1.9633,                 2.2475,                 2.5785,              0.0013441,              0.0013441,              0.0013441
                     63,                  1.571,                   1.68,                 2.4174,                0.61562,                0.63981,                0.75454,                0.31037,                 1.9633,                 2.2475,                 2.5785,              0.0013427,              0.0013427,              0.0013427
                     64,                 1.5797,                 1.5609,                 2.0129,                0.88184,                0.90133,                  0.995,                0.46304,                 1.6846,                 1.7771,                 2.5251,              0.0013413,              0.0013413,              0.0013413
                     65,                 1.6444,                 1.5369,                  2.386,                0.88184,                0.90133,                  0.995,                0.46304,                 1.6846,                 1.7771,                 2.5251,              0.0013399,              0.0013399,              0.0013399
                     66,                 1.6796,                 1.5152,                 2.1792,                0.73362,                0.98491,                  0.995,                0.45488,                 1.7139,                 1.5279,                 2.4588,              0.0013385,              0.0013385,              0.0013385
                     67,                 1.6494,                 1.3094,                  2.029,                0.73362,                0.98491,                  0.995,                0.45488,                 1.7139,                 1.5279,                 2.4588,               0.001337,               0.001337,               0.001337
                     68,                 1.7316,                 1.4724,                 2.2668,                0.72815,                0.95956,                  0.995,                  0.515,                 1.5023,                  1.675,                 2.3369,              0.0013356,              0.0013356,              0.0013356
                     69,                 1.7613,                 1.5539,                  2.362,                0.72815,                0.95956,                  0.995,                  0.515,                 1.5023,                  1.675,                 2.3369,              0.0013342,              0.0013342,              0.0013342
                     70,                 1.4671,                 1.3436,                 2.1168,                 0.5747,                0.88581,                0.71197,                0.31712,                 1.7278,                 3.1593,                 2.3444,              0.0013328,              0.0013328,              0.0013328
                     71,                 1.6243,                 1.5838,                 1.9609,                 0.5747,                0.88581,                0.71197,                0.31712,                 1.7278,                 3.1593,                 2.3444,              0.0013314,              0.0013314,              0.0013314
                     72,                 2.0934,                 1.4521,                 2.0131,                0.61155,                0.81333,                0.69552,                0.32065,                 1.6372,                 4.8922,                 2.3056,                0.00133,                0.00133,                0.00133
                     73,                 1.5614,                  1.332,                 1.9035,                0.61155,                0.81333,                0.69552,                0.32065,                 1.6372,                 4.8922,                 2.3056,              0.0013286,              0.0013286,              0.0013286
                     74,                 1.7563,                 1.8547,                 2.5093,                0.66668,                0.89333,                0.71624,                0.40307,                 1.2579,                 2.7632,                 2.1012,              0.0013271,              0.0013271,              0.0013271
                     75,                 1.3252,                 1.1422,                 1.9013,                0.66668,                0.89333,                0.71624,                0.40307,                 1.2579,                 2.7632,                 2.1012,              0.0013257,              0.0013257,              0.0013257
                     76,                 1.6323,                 1.6681,                  2.318,                0.96636,                      1,                0.99421,                0.55853,                 1.3417,                 1.1278,                 2.0753,              0.0013243,              0.0013243,              0.0013243
                     77,                 1.4629,                 1.2221,                 1.8179,                0.96636,                      1,                0.99421,                0.55853,                 1.3417,                 1.1278,                 2.0753,              0.0013229,              0.0013229,              0.0013229
                     78,                 1.4233,                 1.2829,                 1.9005,                0.98584,                0.96776,                0.99348,                0.55739,                 1.3877,                 1.0509,                 2.0927,              0.0013215,              0.0013215,              0.0013215
                     79,                 1.5571,                 1.1998,                 1.9121,                0.98584,                0.96776,                0.99348,                0.55739,                 1.3877,                 1.0509,                 2.0927,              0.0013201,              0.0013201,              0.0013201
                     80,                 1.4357,                 1.3476,                 2.0015,                0.99173,                0.93438,                0.98911,                0.54971,                 1.3349,                 1.0925,                 2.0683,              0.0013187,              0.0013187,              0.0013187
                     81,                 1.4016,                 1.1851,                 1.8125,                0.99173,                0.93438,                0.98911,                0.54971,                 1.3349,                 1.0925,                 2.0683,              0.0013172,              0.0013172,              0.0013172
                     82,                 1.4378,                 1.2305,                 1.9073,                0.76403,                 0.9634,                0.99449,                0.55709,                  1.318,                 1.1918,                 2.0119,              0.0013158,              0.0013158,              0.0013158
                     83,                 1.2873,                 1.1071,                 1.7709,                0.76403,                 0.9634,                0.99449,                0.55709,                  1.318,                 1.1918,                 2.0119,              0.0013144,              0.0013144,              0.0013144
